"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;520;71;0,136538461538462;0,653319004231119;0,15296405230186
10;1374;88;0,0640465793304221;0,931239796002399;0,18511126231137
15;1907;144;0,075511274252753;1,63668035358149;0,31834386611902
20;2772;187;0,0674603174603175;2,01135190641883;0,38792503434394
25;3300;85;0,0257575757575758;1,47537974458691;0,18662812061601
30;4175;136;0,0325748502994012;1,9436222094543;0,30875410897241
35;4701;125;0,0265900872154861;1,88378268152665;0,30486883021684
40;5556;173;0,0311375089992801;2,46450252801944;0,39714994565952
45;6067;115;0,0189550024723916;2,16730289264379;0,28553916745825
50;6936;59;0,00850634371395617;1,6347148404991;0,16882584823313
