"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;520;444;0,853846153846154;3,12979347127308;0,84686220595429
10;1391;569;0,409058231488138;9,27695488698884;1,2826217895631
15;1906;529;0,277544596012592;13,7433923124774;1,351956611049
20;2785;416;0,149371633752244;20,8245126013988;1,3927593781896
25;3289;367;0,111584068105807;26,7254052208848;1,4275056071831
30;4178;285;0,0682144566778363;36,3563874423198;1,481551298511
35;4677;219;0,0468248877485568;46,0077387830909;1,5124499857289
40;5523;138;0,0249864204236828;61,3763722126301;1,5474793263497
45;6070;111;0,0182866556836903;69,5925551296235;1,5434611860908
50;6950;66;0,00949640287769784;84,2480954207268;1,4962840773729
