"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;522;226;0,432950191570881;2,90038082297768;0,80280249559562
10;1396;392;0,28080229226361;8,15522324463261;1,4246449105007
15;1886;322;0,170731707317073;11,7342197927175;1,5216038994928
20;2777;222;0,0799423838674829;19,3347347950277;1,5519871722481
25;3278;195;0,0594874923733984;24,688643653596;1,5796724565648
30;4178;182;0,0435615126854955;34,2194860799452;1,6069835468333
35;4675;123;0,0263101604278075;41,0880778072995;1,6287763021975
40;5537;98;0,0176991150442478;51,1025493711542;1,649995911614
45;6038;79;0,013083802583637;57,2871520301944;1,6375759916652
50;6953;81;0,0116496476341148;68,0164771232158;1,6254896829313
