"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;530;391;0,737735849056604;4,18682086023772;0,74528833389968
10;1397;301;0,21546170365068;11,164197662417;0,91470766025765
15;1919;250;0,130276185513288;15,3723864870224;0,96710208376453
20;2765;226;0,0817359855334539;21,6418128789824;1,0454800004405
25;3309;185;0,0559081293442128;34,7379088116786;1,1428727680505
30;4185;105;0,025089605734767;59,315151394044;1,2848440676304
35;4716;63;0,0133587786259542;70,7955505737971;1,3067848382238
40;5561;30;0,00539471318108254;92,5648786970202;1,1491154688605
45;6089;8;0,00131384463787157;105,966788305964;1,0670595657582
50;6967;6;0,000861202813262523;124,130911780982;0,80547181749224
