"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;526;317;0,602661596958175;5,16335376620461;0,70964276043672
10;1388;244;0,175792507204611;11,7260401691934;0,84079139466972
15;1898;223;0,117492096944152;14,4602097123112;0,90337380201832
20;2772;188;0,0678210678210678;22,0884606719125;0,99262468494559
25;3296;151;0,0458131067961165;37,7810038473545;1,1345268553394
30;4148;71;0,0171166827386692;63,9014372431325;1,2271531035389
35;4716;38;0,00805767599660729;83,0223312843743;1,2004341439674
40;5536;10;0,00180635838150289;104,648432364866;1,0604071443033
45;6077;8;0,00131643903241731;117,734637294271;0,84696779205327
50;6942;1;0,000144050705848459;138,761329203161;0,55581620447003
