"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;517;433;0,83752417794971;3,21495574185919;0,82590294899392
10;1393;474;0,340272792534099;10,1760232441176;1,1995880991638
15;1909;437;0,228915662650602;13,9150010045575;1,2482199918648
20;2775;345;0,124324324324324;20,4810934569135;1,3030240350726
25;3300;322;0,0975757575757576;27,3062580498165;1,366304548487
30;4172;231;0,0553691275167785;38,442311846807;1,4179003249285
35;4701;194;0,0412678153584344;47,0348626704642;1,4280270088974
40;5565;115;0,0206648697214735;63,2468015927375;1,4621195936396
45;6090;77;0,0126436781609195;74,7032971419366;1,4623544862166
50;6906;21;0,00304083405734144;89,4120052708597;1,4234189669697
