"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;521;15;0,0287907869481766;0,327816516379489;0,03859784073711
10;1395;75;0,0537634408602151;1,05034893589689;0,17759725168258
15;1890;82;0,0433862433862434;1,40251424281295;0,20076290174985
20;2778;38;0,013678905687545;1,12137752783775;0,12171602492795
25;3295;60;0,0182094081942337;1,52308731183152;0,16748815582964
30;4164;75;0,0180115273775216;1,92532240459299;0,1924872806935
35;4699;48;0,0102149393487976;1,72148495319849;0,150468697912
40;5550;55;0,00990990990990991;1,8207700610176;0,17414903471424
45;6068;18;0,0029663810151615;1,6426360818198;0,10006159708826
50;6948;29;0,00417386298215314;1,89478173334029;0,12300292480134
