"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;521;89;0,170825335892514;0,596389689468746;0,17357123176907
10;1388;56;0,0403458213256484;0,461991731402587;0,12009447646931
15;1918;84;0,0437956204379562;0,810414198432071;0,18068444044464
20;2765;72;0,0260397830018083;0,775208816248454;0,15516349822666
25;3265;78;0,0238897396630934;0,857468137446451;0,17868298173126
30;4160;62;0,0149038461538462;0,846274020085374;0,15127782784712
35;4710;74;0,0157112526539278;1,01845765045725;0,18005810203199
40;5558;49;0,00881612090680101;0,911921518798412;0,13410282792921
45;6092;23;0,00377544320420223;0,676652293521495;0,070969341418116
50;6936;100;0,0144175317185698;1,35981564807016;0,23409546354229
