"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;527;387;0,734345351043643;5,16609732309251;0,47280189985284
10;1384;322;0,232658959537572;13,387467517621;0,42567624752901
15;1927;308;0,15983393876492;21,7741350706457;0,44598286470908
20;2770;316;0,114079422382671;34,7081135267853;0,52743657750886
25;3307;301;0,0910190504989416;45,9223607547266;0,58324996600918
30;4179;255;0,0610193826274228;60,7947387253623;0,74640299063239
35;4697;245;0,0521609538002981;75,869226838251;0,88691280978534
40;5526;208;0,0376402461093015;92,6255838675874;1,0463428247146
45;6094;175;0,0287167705940269;104,104356148608;1,1715659040275
50;6931;170;0,0245274852113692;118,8094011982;1,2313762971232
