"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;517;270;0,522243713733075;5,27455090217344;0,6336434018633
10;1387;208;0,149963950973324;11,1708330053354;0,81304135551162
15;1920;208;0,108333333333333;13,303051833329;0,83155890319421
20;2782;182;0,0654205607476635;21,4443869173723;0,95260079405125
25;3293;162;0,0491952626784087;31,0139690436539;1,0063380660451
30;4169;46;0,0110338210602063;73,9241435513999;1,2837065829975
35;4668;27;0,0057840616966581;90,8690306642093;1,1864911596055
40;5581;4;0,000716717434151586;115,544164333925;0,81274461178132
45;6056;1;0,000165125495376486;130,139866536397;0,60995697708159
50;6930;2;0,000288600288600289;152,166753303506;0,39972388731042
