"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;522;420;0,804597701149425;3,94725893940399;0,82523252255865
10;1389;322;0,231821454283657;12,076968461288;0,99154887712733
15;1886;307;0,162778366914104;15,0242318190836;1,0437958579727
20;2771;265;0,0956333453626849;24,0042053044371;1,1227123105481
25;3304;237;0,0717312348668281;31,1442466842434;1,1958875636914
30;4185;137;0,0327359617682198;51,6373979283772;1,3300075043041
35;4678;102;0,0218041898247114;63,0089327956428;1,3566131800216
40;5547;47;0,00847304849468181;80,591744844088;1,3055292745379
45;6078;23;0,00378413951957881;93,2679170219158;1,2763771130539
50;6967;13;0,00186593942873547;112,080752236511;1,0230913805479
