"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;518;0;0;0,122559290422534;0,034591744900621
10;1397;0;0;0,181648170435278;0,044257390589516
15;1911;0;0;0,26264130022618;0,053870785595171
20;2789;0;0;0,346567867709822;0,067061905277198
25;3265;0;0;0,588976841015248;0,1074787998311
30;4179;0;0;0,442668409924352;0,062624771220319
35;4673;0;0;0,804911289841857;0,13031023575926
40;5539;0;0;0,830701225966207;0,1408982179086
45;6054;0;0;0,629134159338509;0,10427418140088
50;6962;0;0;0,966419080022203;0,13440662522205
