"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;523;192;0,367112810707457;6,32730870612415;0,62830183935762
10;1383;183;0,132321041214751;11,7172985337399;0,77705310500089
15;1919;149;0,0776446065659197;14,9910182688746;0,83436610757858
20;2776;116;0,0417867435158501;23,2453120916513;0,9338469874563
25;3304;113;0,0342009685230024;41,1256287396023;1,0140752583244
30;4171;26;0,00623351714217214;83,1549379569891;1,2128249290407
35;4678;9;0,00192389910218042;102,920437448661;0,96916514261054
40;5543;1;0,000180407721450478;130,694063444215;0,52961034136327
45;6059;7;0,00115530615613137;145,94614516023;0,3666653000123
50;6948;2;0,000287852619458837;167,725024466485;0,32266061430701
