"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;524;218;0,416030534351145;6,03455111634106;0,63112349152642
10;1395;188;0,134767025089606;10,9459071592012;0,76111275628343
15;1914;183;0,0956112852664577;14,4038305603605;0,84303699807879
20;2795;141;0,0504472271914132;21,1320199648008;0,96451528603907
25;3294;101;0,0306618093503339;46,5373212938941;1,1565518133767
30;4180;29;0,0069377990430622;81,6253034404726;1,2772123757205
35;4675;9;0,00192513368983957;97,1114791068261;1,1026285207776
40;5523;3;0,000543183052688756;126,855363221114;0,64812032708426
45;6088;3;0,000492772667542707;142,652584897733;0,40834292302793
50;6916;1;0,000144592249855408;164,277188421242;0,35885224058057
