"window_number";"window_end_time";"packets_number";"total_packets_size"
1;1;39;1779
2;2;58;2995
3;3;21;1122
4;4;26;1106
5;5;27;1124
6;6;30;1210
7;7;45;1701
8;8;22;965
9;9;21;919
10;10;27;1109
11;11;25;1055
12;12;40;1529
13;13;48;2223
14;14;43;2548
15;15;36;1805
16;16;25;1018
17;17;29;1153
18;18;42;1574
19;19;23;1016
20;20;21;916
21;21;28;1170
22;22;25;1050
23;23;41;1573
24;24;34;1319
25;25;19;922
26;26;45;2398
27;27;49;2602
28;28;34;1480
29;29;46;1760
30;30;20;870
31;31;23;1004
32;32;25;1014
33;33;25;1053
34;34;39;1475
35;35;35;1372
36;36;14;656
37;37;27;1143
38;38;26;1093
39;39;50;2487
40;40;65;3072
41;41;28;1348
42;42;20;871
43;43;27;1112
44;44;23;949
45;45;39;1478
46;46;34;1319
47;47;14;655
48;48;26;1096
49;49;26;1064
50;50;33;1382
51;51;60;2713
52;52;39;2148
53;53;31;1576
54;54;28;1165
55;55;25;1053
56;56;40;1518
57;57;35;1362
58;58;16;754
59;59;25;1049
60;60;26;1065
61;61;33;1350
62;62;43;1607
63;63;27;1295
64;64;51;2950
65;65;41;2003
66;66;28;1190
67;67;40;1534
68;68;37;1455
69;69;16;753
70;70;28;1192
71;71;27;1122
72;72;30;1195
73;73;44;1657
74;74;20;873
75;75;22;980
76;76;38;1836
77;77;46;2512
78;78;52;2352
79;79;34;1310
80;80;14;656
81;81;25;1057
82;82;27;1123
83;83;32;1309
84;84;48;1832
85;85;20;871
86;86;21;916
87;87;27;1114
88;88;31;1475
89;89;64;3117
90;90;52;2439
91;91;18;939
92;92;27;1146
93;93;27;1120
94;94;29;1156
95;95;46;1748
96;96;21;915
97;97;20;872
98;98;27;1119
99;99;25;1055
100;100;41;1593
101;101;45;2050
102;102;39;2298
103;103;37;1847
104;104;27;1119
105;105;32;1299
106;106;46;1762
107;107;24;1060
108;108;20;873
109;109;26;1060
110;110;27;1145
111;111;42;1626
112;112;37;1524
113;113;28;1545
114;114;32;1534
115;115;44;2277
116;116;41;1892
117;117;44;1667
118;118;22;965
119;119;24;1059
120;120;25;1023
121;121;23;954
122;122;40;1529
123;123;35;1373
124;124;19;895
125;125;28;1244
126;126;37;1810
127;127;41;1910
128;128;59;2624
129;129;30;1528
130;130;19;818
131;131;26;1077
132;132;25;1052
133;133;41;1584
134;134;39;1555
135;135;15;705
136;136;25;1054
137;137;27;1120
138;138;39;1786
139;139;51;2129
140;140;28;1400
141;141;38;2076
142;142;32;1470
143;143;26;1102
144;144;42;1613
145;145;35;1364
146;146;15;704
147;147;24;1002
148;148;29;1213
149;149;31;1257
150;150;46;1803
151;151;31;1602
152;152;30;1551
153;153;34;1633
154;154;30;1435
155;155;52;2277
156;156;39;1557
157;157;14;658
158;158;25;1049
159;159;28;1166
160;160;29;1136
161;161;45;1713
162;162;27;1310
163;163;30;1535
164;164;33;1503
165;165;35;1734
166;166;41;1575
167;167;41;1796
168;168;22;1205
169;169;26;1084
170;170;26;1063
171;171;31;1242
172;172;44;1669
173;173;21;918
174;174;22;969
175;175;37;1804
176;176;33;1522
177;177;44;1734
178;178;46;2099
179;179;22;1242
180;180;36;1793
181;181;29;1218
182;182;30;1185
183;183;44;1677
184;184;22;960
185;185;21;915
186;186;28;1164
187;187;30;1417
188;188;49;2113
189;189;37;1467
190;190;17;846
191;191;43;2319
192;192;38;1827
193;193;32;1288
194;194;45;1717
195;195;20;867
196;196;19;820
197;197;27;1119
198;198;24;1005
199;199;50;2174
200;200;47;2070
201;201;15;704
202;202;28;1258
203;203;43;2181
204;204;42;1981
205;205;46;1744
206;206;21;920
207;207;21;921
208;208;27;1122
209;209;25;1055
210;210;40;1530
211;211;43;1864
212;212;26;1429
213;213;24;999
214;214;32;1451
215;215;48;2431
216;216;53;2236
217;217;20;872
218;218;23;1013
