"window_number";"window_end_time";"packets_number";"total_packets_size"
362;362;23;1206
363;363;16;768
364;364;67;2679
365;365;70;2903
366;366;35;1711
367;367;24;1147
368;368;14;672
369;369;34;1374
370;370;72;2558
371;371;33;1312
372;372;25;1054
373;373;24;1303
374;374;31;1823
375;375;66;2620
376;376;58;2143
377;377;34;1620
378;378;41;2266
379;379;17;879
380;380;33;1332
381;381;76;2774
382;382;32;1267
383;383;25;1051
384;384;16;754
385;385;21;1157
386;386;78;3400
387;387;65;2568
388;388;26;1093
389;389;31;1613
390;390;34;1959
391;391;34;1378
392;392;76;2765
393;393;32;1273
394;394;26;1099
395;395;16;754
396;396;16;768
397;397;70;2824
398;398;71;3011
399;399;36;1769
400;400;19;841
401;401;29;1682
402;402;47;2301
403;403;73;2622
404;404;33;1314
405;405;26;1102
406;406;15;706
407;407;14;672
408;408;62;2277
409;409;68;2811
410;410;27;1209
411;411;22;996
412;412;29;1584
413;413;36;1544
414;414;88;3606
415;415;47;2271
416;416;25;1072
417;417;18;851
418;418;14;672
419;419;61;2242
420;420;61;2327
421;421;35;1723
422;422;22;1006
423;423;18;954
424;424;43;2013
425;425;74;2672
426;426;43;1976
427;427;39;1976
428;428;21;1146
429;429;15;720
430;430;60;2203
431;431;58;2135
432;432;24;1003
433;433;21;921
434;434;23;1297
435;435;39;1746
436;436;83;3256
437;437;40;1764
438;438;26;1121
439;439;29;1678
440;440;28;1592
441;441;62;2294
442;442;57;2108
443;443;29;1227
444;444;20;893
445;445;13;624
446;446;32;1292
447;447;84;3348
448;448;52;2591
449;449;29;1279
450;450;17;843
451;451;25;1386
452;452;69;2805
453;453;69;2846
454;454;26;1097
455;455;19;821
456;456;14;672
457;457;32;1277
458;458;73;2629
459;459;36;1507
460;460;34;1694
461;461;30;1684
462;462;24;1285
463;463;71;2914
464;464;63;2439
465;465;27;1170
466;466;30;1566
467;467;19;966
468;468;33;1325
469;469;74;2679
470;470;33;1314
471;471;29;1349
472;472;27;1472
473;473;23;1249
474;474;70;2823
475;475;62;2387
476;476;36;1770
477;477;21;958
478;478;16;806
479;479;42;1949
480;480;78;2929
481;481;33;1327
482;482;25;1049
483;483;17;842
484;484;25;1413
485;485;65;2478
486;486;62;2411
487;487;35;1691
488;488;28;1443
489;489;21;1146
490;490;31;1238
491;491;79;2934
492;492;42;1937
493;493;27;1197
494;494;17;800
495;495;18;970
496;496;72;2967
497;497;58;2126
498;498;26;1099
499;499;20;872
500;500;28;1540
501;501;47;2319
502;502;76;2834
503;503;39;1687
504;504;33;1633
505;505;17;803
506;506;14;672
507;507;63;2367
508;508;68;2796
509;509;29;1325
510;510;19;818
511;511;20;1058
512;512;45;2138
513;513;83;3294
514;514;35;1475
515;515;26;1091
516;516;23;1215
517;517;25;1366
518;518;60;2188
519;519;58;2129
520;520;27;1182
521;521;30;1525
522;522;20;1033
523;523;40;1836
524;524;85;3409
525;525;46;2147
526;526;27;1179
527;527;14;655
528;528;16;809
529;529;70;2873
530;530;60;2283
531;531;29;1238
532;532;19;820
533;533;18;864
534;534;42;1921
535;535;88;3614
536;536;46;2208
537;537;35;1718
538;538;16;768
539;539;15;720
540;540;62;2281
541;541;59;2183
542;542;33;1626
543;543;26;1274
544;544;15;720
545;545;32;1272
546;546;74;2666
547;547;36;1500
548;548;41;2219
549;549;36;2145
550;550;17;872
551;551;61;2245
552;552;58;2135
553;553;27;1138
554;554;22;982
555;555;26;1432
556;556;37;1586
557;557;74;2673
558;558;33;1318
559;559;34;1612
560;560;24;1307
561;561;19;1028
562;562;81;3587
563;563;64;2509
564;564;24;999
565;565;20;870
566;566;16;768
567;567;32;1280
568;568;81;3187
569;569;41;1809
570;570;25;1048
571;571;16;751
572;572;23;1295
573;573;74;3081
574;574;69;2845
575;575;35;1726
576;576;25;1200
577;577;13;624
578;578;31;1234
579;579;73;2605
580;580;32;1266
581;581;33;1609
582;582;22;1190
583;583;13;624
584;584;64;2471
585;585;68;2814
586;586;37;1823
587;587;34;1769
588;588;23;1284
589;589;32;1281
590;590;73;2613
591;591;33;1309
592;592;26;1094
593;593;26;1424
594;594;22;1150
595;595;61;2252
596;596;67;2690
597;597;34;1708
598;598;22;969
599;599;31;1806
600;600;48;2325
601;601;75;2720
602;602;34;1363
603;603;23;948
604;604;18;847
605;605;22;1189
606;606;69;2767
607;607;61;2259
608;608;25;1048
609;609;26;1251
610;610;22;1273
611;611;34;1394
612;612;85;3387
613;613;49;2440
614;614;28;1219
615;615;15;705
616;616;14;672
617;617;66;2584
618;618;67;2774
619;619;27;1122
620;620;22;969
621;621;14;672
622;622;33;1393
623;623;84;3316
624;624;42;1906
625;625;42;2180
626;626;26;1438
