"slots_number";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
8;1386;675;0,487012987012987;3,33277270990646;0,82354305001443
16;1369;497;0,363038714390066;3,29551556765952;0,70960999887628
24;1389;333;0,239740820734341;2,78274799124193;0,531909097659
32;1399;251;0,179413867047891;2,53408481490633;0,44363978478616
40;1383;200;0,144613159797542;2,37468856937731;0,38887507807035
48;1379;159;0,11530094271211;2,24503125649732;0,34128837166091
56;1391;130;0,0934579439252336;2,14404751351402;0,30735970466808
64;1384;100;0,0722543352601156;2,03671448911077;0,27165301212597
